0.100000	-nan	-nan	0.000006	-0.000000	-0.000011	0.003247	-0.010824	0.531007	-0.000006	-nan	-nan	-nan	-nan	-nan	-nan	0.531000	0.000000
0.200000	-nan	-nan	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	-nan	-nan	-nan	-nan	-nan	-nan	0.531000	0.000000
0.300000	1.121416	1.121416	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.838600	0.000000	2.561656	2.561656	3.141593	68.838600	0.531000	0.367000
0.400000	1.121416	1.121416	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.838600	0.000000	2.561656	2.561656	3.141593	68.838600	0.531000	0.367000
0.500000	1.121416	1.121416	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.838600	0.000000	2.561656	2.561656	3.141593	68.838600	0.531000	0.367000
0.600000	1.121416	1.121416	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.838600	0.000000	2.561656	2.561656	3.141593	68.838600	0.531000	0.367000
0.700000	1.121416	1.121416	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.838600	0.000000	2.561656	2.561656	3.141593	68.838600	0.531000	0.367000
0.800000	1.121416	1.121416	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.838600	0.000000	2.561656	2.561656	3.141593	68.838600	0.531000	0.367000
0.900000	1.114110	1.114110	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.155716	0.000000	2.536245	2.536245	3.141593	68.155716	0.531000	0.372000
1.000000	1.114110	1.114110	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.155716	0.000000	2.536245	2.536245	3.141593	68.155716	0.531000	0.372000
1.100000	1.121416	1.121416	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.838600	0.000000	2.561656	2.561656	3.141593	68.838600	0.531000	0.367000
1.200000	1.121416	1.121416	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.838600	0.000000	2.561656	2.561656	3.141593	68.838600	0.531000	0.367000
1.300000	1.107906	1.107906	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	67.575752	0.000000	2.514663	2.514663	3.141593	67.575752	0.531000	0.376000
1.400000	1.107906	1.107906	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	67.575752	0.000000	2.514663	2.514663	3.141593	67.575752	0.531000	0.376000
1.500000	1.114110	1.114110	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.155716	0.000000	2.536245	2.536245	3.141593	68.155716	0.531000	0.372000
1.600000	1.114110	1.114110	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.155716	0.000000	2.536245	2.536245	3.141593	68.155716	0.531000	0.372000
1.700000	1.121416	1.121416	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.838600	0.000000	2.561656	2.561656	3.141593	68.838600	0.531000	0.367000
1.800000	1.121416	1.121416	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.838600	0.000000	2.561656	2.561656	3.141593	68.838600	0.531000	0.367000
1.900000	1.114110	1.114110	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.155716	0.000000	2.536245	2.536245	3.141593	68.155716	0.531000	0.372000
2.000000	1.114110	1.114110	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.155716	0.000000	2.536245	2.536245	3.141593	68.155716	0.531000	0.372000
2.100000	1.122816	1.122816	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.969528	0.000000	2.566529	2.566529	3.141593	68.969528	0.531000	0.366000
2.200000	1.122816	1.122816	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.969528	0.000000	2.566529	2.566529	3.141593	68.969528	0.531000	0.366000
2.300000	1.115612	1.115612	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.296043	0.000000	2.541466	2.541466	3.141593	68.296043	0.531000	0.371000
2.400000	1.115612	1.115612	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.296043	0.000000	2.541466	2.541466	3.141593	68.296043	0.531000	0.371000
2.500000	1.122816	1.122816	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.969528	0.000000	2.566529	2.566529	3.141593	68.969528	0.531000	0.366000
2.600000	1.122816	1.122816	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.969528	0.000000	2.566529	2.566529	3.141593	68.969528	0.531000	0.366000
2.700000	1.122816	1.122816	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.969528	0.000000	2.566529	2.566529	3.141593	68.969528	0.531000	0.366000
2.800000	1.122816	1.122816	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.969528	0.000000	2.566529	2.566529	3.141593	68.969528	0.531000	0.366000
2.900000	1.133290	1.133290	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	69.948616	0.000000	2.602963	2.602963	3.141593	69.948616	0.531000	0.358000
3.000000	1.133290	1.133290	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	69.948616	0.000000	2.602963	2.602963	3.141593	69.948616	0.531000	0.358000
3.100000	1.115612	1.115612	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.296043	0.000000	2.541466	2.541466	3.141593	68.296043	0.531000	0.371000
3.200000	1.115612	1.115612	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.296043	0.000000	2.541466	2.541466	3.141593	68.296043	0.531000	0.371000
3.300000	1.115612	1.115612	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.296043	0.000000	2.541466	2.541466	3.141593	68.296043	0.531000	0.371000
3.400000	1.115612	1.115612	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.296043	0.000000	2.541466	2.541466	3.141593	68.296043	0.531000	0.371000
3.500000	1.132052	1.132052	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	69.832909	0.000000	2.598657	2.598657	3.141593	69.832909	0.531000	0.359000
3.600000	1.132052	1.132052	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	69.832909	0.000000	2.598657	2.598657	3.141593	69.832909	0.531000	0.359000
3.700000	1.122816	1.122816	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.969528	0.000000	2.566529	2.566529	3.141593	68.969528	0.531000	0.366000
3.800000	1.122816	1.122816	0.000006	-0.000000	-0.000022	0.000000	0.000000	0.531007	-0.000011	68.969528	0.000000	2.566529	2.566529	3.141593	68.969528	0.531000	0.366000
3.900000	1.115612	1.115612	0.000019	-0.000000	-0.000065	0.000000	0.000000	0.531020	-0.000034	68.296043	0.000000	2.541466	2.541466	3.141593	68.296043	0.531000	0.371000
4.000000	1.115612	1.115612	0.000026	-0.000000	-0.000087	0.000000	0.000000	0.531026	-0.000046	68.296043	0.000000	2.541466	2.541466	3.141593	68.296043	0.531000	0.371000
4.100000	1.125557	1.125557	0.000026	-0.000000	-0.000087	0.000000	0.000000	0.531026	-0.000046	69.225716	0.000000	2.576062	2.576062	3.141593	69.225716	0.531000	0.364000
4.200000	1.125557	1.125557	0.000026	-0.000000	-0.000087	0.000000	0.000000	0.531026	-0.000046	69.225716	0.000000	2.576062	2.576062	3.141593	69.225716	0.531000	0.364000
4.300000	1.115612	1.115612	0.000026	-0.000000	-0.000087	0.000000	0.000000	0.531026	-0.000046	68.296043	0.000000	2.541466	2.541466	3.141593	68.296043	0.531000	0.371000
4.400000	1.115612	1.115612	0.000026	-0.000000	-0.000087	0.000000	0.000000	0.531026	-0.000046	68.296043	0.000000	2.541466	2.541466	3.141593	68.296043	0.531000	0.371000
